"apicd","apinm","doculink","docunm"
"15094303",문화재청 국립무형유산원_무형유산 디지털 보고서 목록 조회 서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002484098&fileDetailSn=1,[참고]기술문서_디지털 보고서.docx
"15094202",식품의약품안전처_수입식품 성분코드 정보,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002478735&fileDetailSn=1,IROS_385_수입식품성분코드정보_v1.0.docx
"15094093",건강보험심사평가원_병원평가정보서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002477828&fileDetailSn=1,OpenAPI활용가이드_건강보험심사평가원(병원평가정보서비스)_20211105.docx
"15094089",건강보험심사평가원_우수기관병원평가정보서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002478345&fileDetailSn=1,OpenAPI활용가이드_건강보험심사평가원(우수기관병원평가정보서비스)_20211106.docx
"15093666",공정거래위원회_내부지분(대동비교) 현황 조회,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002471414&fileDetailSn=1,N3. 오픈API활용가이드_내부지분(대동비교) 현황 조회_공정거래위원회_211026.docx
"15091895",공정거래위원회_대규모기업집단 소속회사 재무현황 정보 조회 서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002455585&fileDetailSn=1,"6. 오픈API활용가이드_대규모기업집단 소속회사 재무현황 정보 조회 서비스_공정거래위원회.docx"
"15091902",공정거래위원회_대규모기업집단 소속회사 참여업종 정보 조회 서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002455732&fileDetailSn=1,"9. 오픈API활용가이드_대규모기업집단 소속회사 참여업종 정보 조회 서비스_공정거래위원회.docx"
"15094455",충청북도_환경오염물질 배출업소 현황,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002483298&fileDetailSn=1,OpenAPI활용가이드_[충청북도_환경오염물질 배출업소 현황]_v1.0.docx
"15094502",충청북도_유원시설업 현황,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002483681&fileDetailSn=1,OpenAPI활용가이드_[충청북도_유원시설업 현황]_v1.0.docx
"15094972",식품의약품안전처_인체조직 수입승인 현황,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002483252&fileDetailSn=1,IROS_397_인체조직수입승인현황_v1.0.docx
"15094967",중앙선거관리위원회_선거인수현황 정보,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002484357&fileDetailSn=1,OpenAPI활용가이드(선거인수현황정보)_v3.5.hwp
"15094505",충청북도_ 대규모점포 현황,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002483400&fileDetailSn=1,OpenAPI활용가이드_[충청북도_대규모점포 현황]_v1.0.docx
