apicd,apiname,opercd,opername
15078209,여성가족부_청소년매체이용및유해환경실태조사 마이크로데이터 정보 서비스,31381,데이터 목록 조회
15078212,여성가족부_청소년종합실태조사 마이크로데이터 정보 서비스,31386,데이터 목록 조회
15046204,여성가족부 폭력예방교육자료 목록 조회 서비스,24132,여성가족부 폭력예방교육자료 목록조회
15059689,여성가족부_ 여성·가족·청소년·권익시설정보,24611,여성가족부 시설찾기 목록조회
15078213,여성가족부_한부모가족실태조사 마이크로데이터 정보 서비스,31391,데이터 목록 조회
15078198,여성가족부_기업및공공기관의 가족친화수준실태조사 마이크로데이터 정보 서비스,31396,데이터 목록 조회
15057520,여성가족부 정책 자료 목록 조회 서비스,24131,여성가족부 주제별 정책자료 목록조회
15058733,여성가족부 정책 뉴스 조회 서비스,18931,여성가족부 정책뉴스 목록조회
15064355,여성가족부_청소년 활동 정보,26287,청소년활동 시도 목록 검색
15085295,농촌진흥청 국립원예특작과학원_배 생육품질정보 조회 서비스,33302,배 발아/만개기 정보 조회
15078194,농촌진흥청 국립농업과학원_농업기상 상세 관측데이터 조회,31070,농업기상 조회일자별 10분 상세 관측데이터 조회
15073274,농촌진흥청 국립농업과학원_농업기상 관측지점 상세정보,27366,농업기상 관측지점 상세정보 조회
15073563,농촌진흥청 국립농업과학원_토양도 기반 토양특성 상세정보,27889,토양도 기반 토양특성상세정보
15073569,농촌진흥청 국립농업과학원_토양검정 화학성 상세정보,27475,지번코드별 토양검정 화학성 상세정보 조회
15065007,농촌진흥청 국립식량과학원_벼 품종 이미지 정보 서비스,26459,벼 품종 이미지 목록 조회
15065005,농촌진흥청 국립식량과학원_맥류작황 성적정보 서비스,26565,맥류작황 코드목록 조회 서비스
15065006,농촌진흥청 국립식량과학원_두류 작황 성적 정보 서비스,26574,두류 작황 코드목록 조회 서비스
15064971,농촌진흥청 국립식량과학원_벼 작황 성적 정보 서비스,26480,재배법 조회 서비스
15081072,"농촌진흥청 국립농업과학원_농식품 식단관리(메뉴젠) 음식, 재료 및 조리 정보",31756,"식단관리(메뉴젠) 음식, 재료 및 조리 정보 조회"
15081040,농촌진흥청 국립농업과학원_농식품 식단관리(메뉴젠) 음식 및 조리정보,31683,식단관리(메뉴젠) 음식 및 조리 정보 조회
15081047,"농촌진흥청 국립농업과학원_농식품 식단관리(메뉴젠) 음식, 재료, 조리 및 이미지 정보",31684,"식단관리(메뉴젠) 음식, 재료, 조리 및 이미지 정보 조회"
15081026,농촌진흥청 국립농업과학원_농식품 식단관리(메뉴젠) 음식 및 재료 정보,31663,식단관리(메뉴젠) 음식 및 재료 정보 조회
15081022,농촌진흥청 국립농업과학원_농식품 식단관리(메뉴젠) 음식 및 이미지 정보,31662,식단관리(메뉴젠) 음식 및 이미지 정보 조회
15075883,농촌진흥청 국립농업과학원_비료사용처방 정보,29104,벼 작물 비료사용 처방 정보 조회
15002055,농촌진흥청_농업농촌종합정보(인테러뱅),5830,농업농촌종합정보(인테러뱅) 상세보기 조회
15075890,농촌진흥청 국립농업과학원_토양도 기반 작물별 토양적성 통계정보,29109,작물 토양적성 통계 정보 조회
15081034,"농촌진흥청 국립농업과학원_농식품 식단관리(메뉴젠) 음식, 재료 및 이미지 정보",31774,"식단관리(메뉴젠) 음식, 재료 및 이미지 정보 조회"
15078057,농촌진흥청 국립농업과학원_농업기상 기본 관측데이터 조회,30388,농업기상 조회일자별 10분 기본 관측데이터 조회
15063096,농촌진흥청 국립원예특작과학원_버섯이미지 조회 서비스,25656,국립원예특작과학원 버섯이미지 목록
