id,organ,col
F100030799,인천광역시 미추홀구,6
F100063377,양산시시설관리공단,11
F100063616,양산시시설관리공단,6
F100017154,한국부동산원,31
F100015207,주택도시보증공사,11
F100001186,국세청,22
F100046438,전라북도 장수군,13
F100045771,전라북도 장수군,14
F100045205,전라북도 장수군,6
F100009797,한국가스공사,3
F100046728,전라북도 장수군,6
F100062110,경기관광공사,6
F100062111,경기관광공사,14
F100045209,전라북도 장수군,6
F100009796,한국가스공사,3
F100011265,한국산업단지공단,14
F100010797,한국산업단지공단,19
F100030850,인천광역시 중구,6
F100021187,서울특별시 양천구,21
F100006283,산림청 국립산림품종관리센터,3
F100038814,경기도 부천시,5
F100012116,환경부 화학물질안전원,23
F100030806,인천광역시 미추홀구,5
F100030804,인천광역시 미추홀구,3
F100046521,전라북도,5
F100010235,한국수력원자력(주),11
F100009374,한국수력원자력(주),6
F100009626,한전KDN(주),7
F100059451,한국언론진흥재단,18
F100028388,인천광역시 중구,5
F100030405,인천광역시 중구,6
F100041577,충청북도,13
F100036134,경기도 과천시,12
F100041578,충청북도,13
F100041579,충청북도,13
F100041580,충청북도,13
F100041581,충청북도,13
F100041582,충청북도,13
F100037230,경기도 과천시,24
F100017227,한국부동산원,16
F100004807,한국국제보건의료재단,8
F100002679,대검찰청,15
F100061664,사립학교교직원연금공단,4
F100028662,인천광역시 중구,5
F100030433,인천광역시 중구,5
F100030177,인천광역시 중구,11
F100030135,인천광역시 중구,7
F100032047,광주광역시,5
F100032014,광주광역시,10
F100049759,전라남도,3
F100031867,광주광역시,9
F100027927,인천광역시 동구,3
F100018890,기초과학연구원,6
F100039632,강원도 원주시,8
F100018827,기초과학연구원,6
F100058588,한국주택금융공사,4
F100049389,전라남도,7
F100021893,서울특별시 구로구,31
F100036351,경기도 부천시,26
F100001560,국세청,13
F100001572,국세청,13
F100001565,국세청,13
F100028295,인천광역시 서구,22
F100028280,인천광역시 서구,14
F100028385,인천광역시 서구,32
F100028354,인천광역시 서구,28
F100028284,인천광역시 서구,23
F100028405,인천광역시 서구,19
F100028305,인천광역시 서구,21
F100013178,농림축산식품부 농림축산검역본부,7
F100013317,농림축산식품부,18
F100036472,경기도 과천시,27
F100009238,산업통상자원부,8
F100028622,인천광역시 중구,5
F100028650,인천광역시 중구,21
F100047282,전라북도 정읍시,15
F100047285,전라북도 정읍시,10
F100009236,산업통상자원부,13
F100001617,국세청,7
F100044882,충청남도 청양군,9
F100017163,한국부동산원,187
F100030475,인천광역시 중구,5
F100036965,경기도 부천시,21
F100002669,대검찰청,12
F100002671,대검찰청,20
F100002673,대검찰청,20
F100002675,대검찰청,20
F100040404,강원도 태백시,21
F100002677,대검찰청,23
F100041533,충청북도,11
F100014048,국토교통부,8
F100016536,국토교통부,4
F100047384,전라남도,10
F100039458,경기도 오산시,11
F100019408,행정안전부 지방공기업평가원,8
F100021223,서울특별시 양천구,29
F100023533,부산광역시 사상구,8
F100055551,제주특별자치도,7
F100055654,제주특별자치도,6
F100056455,제주특별자치도,6
F100028325,인천광역시 서구,18
F100028266,인천광역시 서구,13
F100028238,인천광역시 서구,24
F100028218,인천광역시 서구,11
F100018020,제주국제자유도시개발센터,4
F100035738,경기도 부천시,9
F100029085,인천광역시 동구,6
F100002655,대검찰청,15
F100002657,대검찰청,15
F100043288,충청남도 보령시,8
F100029150,인천광역시,31
F100023652,부산광역시 남구,25
F100036311,경기도 과천시,14
F100052215,경상북도 경산시,15
F100033773,대전광역시,5
F100041201,충청북도,51
F100037066,경기도 과천시,18
F100018982,정보통신산업진흥원,35
F100041235,충청북도 영동군,4
F100036279,경기도 과천시,25
F100016721,한국도로공사,20
F100018027,한국토지주택공사,19
F100018028,한국토지주택공사,19
F100008619,한국에너지기술평가원,8
F100008609,한국에너지기술평가원,12
F100013330,농림축산식품부,18
F100018624,한국철도기술연구원,9
F100018618,한국철도기술연구원,9
F100018620,한국철도기술연구원,9
F100018621,한국철도기술연구원,9
F100064398,한국보훈복지의료공단,4
F100064407,한국보훈복지의료공단,5
F100008636,한국남동발전㈜,6
F100064416,한국보훈복지의료공단,38
F100064467,한국보훈복지의료공단,5
F100009403,한국남동발전㈜,7
F100009737,한전KDN(주),6
F100023665,부산광역시 사상구,25
F100010414,한국석유공사,4
F100008395,한전KDN(주),7
F100018619,한국철도기술연구원,9
F100030705,인천광역시,33
F100014276,한국도로공사,5
F100005881,문화체육관광부 국립중앙극장,13
F100027897,인천광역시 동구,6
F100016331,한국도로공사,4
F100013446,농림축산식품부 국립종자원,14
F100007470,특허청,25
F100007473,특허청,11
F100016337,한국도로공사,4
F100045615,전라북도,7
F100064477,한국보훈복지의료공단,13
F100002469,대검찰청,15
F100030074,인천광역시,56
F100032446,광주광역시,7
F100029434,인천광역시,18
F100029589,인천광역시,5
F100020770,서울특별시 은평구,20
F100008947,한국가스안전공사,11
F100037804,경기도 평택시,29
F100060594,한국주택금융공사,10
F100028603,인천광역시,17
F100009916,한국가스안전공사,14
F100024469,부산광역시 수영구,6
F100005313,국립암센터,24
F100003252,경찰청,21
F100026716,대구광역시 남구,26
F100002556,대검찰청,11
F100026385,대구광역시 남구,31
F100002557,대검찰청,48
F100026371,대구광역시 남구,12
F100002558,대검찰청,15
F100063706,사립학교교직원연금공단,4
F100052825,경상남도 김해시,18
F100037247,경기도 과천시,32
F100052248,경상북도 경주시,9
F100020379,서울특별시 성북구,25
F100017158,한국부동산원,187
F100028466,인천광역시 중구,5
F100027803,인천광역시 중구,4
F100042332,충청북도,12
F100041215,충청북도,9
F100044883,충청남도 청양군,31
F100028660,인천광역시 중구,5
F100042333,충청북도,12
F100017169,한국부동산원,187
F100045208,전라북도 장수군,6
F100042335,충청북도,12
F100056837,제주특별자치도,71
F100056836,제주특별자치도,71
F100056835,제주특별자치도,71
F100056834,제주특별자치도,71
F100056833,제주특별자치도,71
F100056832,제주특별자치도,71
F100056856,제주특별자치도,71
F100005484,건강보험심사평가원,7
F100005492,건강보험심사평가원,8
F100055681,제주특별자치도 제주시,16
F100002659,대검찰청,15
F100055684,제주특별자치도 제주시,25
F100053117,경상남도 진주시,26
F100002661,대검찰청,15
F100030438,인천광역시 중구,6
F100035782,경기도 동두천시,14
F100002681,대검찰청,12
F100002683,대검찰청,15
F100018851,한국기계연구원,23
F100002685,대검찰청,48
F100018849,한국기계연구원,10
F100002687,대검찰청,15
F100042343,충청북도,12
