id,name
F100003609,성범죄 장소별 발생 현황.csv
F100003610,성범죄 방법별 발생 현황.csv
F100003824,대전광역시지방경찰청_8톤이상 화물자차량 교량복개도로구간 통행금지 현황.csv
F100003826,대전광역시지방경찰청_자동차통행 금지구간 현황.csv
F100003827,울산광역시지방경찰청_ 울산지역 교통법규 위반 및 단속 현황_20190906.csv
F100003828,5대범죄 발생 및 검거 현황.csv
F100003829,112 신고접수 현황.csv
F100003830,경범범칙금 징수현황.csv
F100003831,경범범칙금 통고처분발부건수 현황.csv
F100003832,경범범칙금 유형별 통고처분 현황.csv
F100003833,경비업 경비원 수 현황.csv
F100004255,광주경찰청_광주광역시_시간제노상주차허용현황.csv
F100004256,어린이보호구역 지정 현황.csv
F100004257,노인보호구역 지정 현황.csv
F100004258,사이버범죄 발생검거 현황.csv
F100004259,전라남도 경찰청_마약류 사범 검거 현황.csv
F100004260,전라남도 경찰청_외국인 범죄현황.csv
F100004261,전남청 지역관서 현황(공공데이터).csv
F100003618,경찰청_인천광역시지방경찰청_경찰서별 청소년 5대범죄 검거인원(2017년).csv
F100003619,경찰청_인천광역시지방경찰청_경찰서별 청소년 5대범죄 검거인원(2018년).csv
F100003621,경찰청_인천광역시경찰청_경찰서별 청소년 5대범죄 검거인원(2020년).csv
F100003834,법인 및 허가 업종별 경비업 현황.csv
F100003835,경찰관 계급별 인력 현황.csv
F100003836,경찰관 1인당 담당인구 현황.csv
F100003837,공기총 구경별 소지허가 현황.csv
F100003838,교통법규 위반 유형별 단속 현황.csv
F100003840,교통사고 야기도주 사고 발생 검거 현황.csv
F100003841,마약류 사범 검거 현황.csv
F100003842,박물관 연간 관람객 현황.csv
F100003843,불법컨텐츠 범죄 현황.csv
F100003844,불법폭력시위 및 경찰관 부상자 발생 현황.csv
F100003845,사이버 범죄 발생 및 검거 현황.csv
F100004280,(수정)중앙교육연수원 교육현황_2018.csv
F100004281,중앙교육연수원 교육현황_2017.csv
F100004282,중앙교육연수원 교육현황_2016.csv
F100004284,(수정)중앙교육연수원 교육현황_2014.csv
F100004285,2019년 중앙교육연수원 교육현황.csv
F100004293,국사편찬위원회_귀중본 목록.csv
F100004294,국사편찬위원회_한국사능력검정시험 정보_연도별 응시인원 및 합격률_20200930.csv
F100003643,경찰청_서울특별시지방경찰청_범죄발생 장소별 현황_2012.csv
F100003644,경찰청_서울특별시지방경찰청_범죄발생 장소별 현황_2013.csv
F100003646,경찰청_서울특별시지방경찰청_범죄발생 장소별 현황_2016.csv
F100003647,경찰청_서울특별시지방경찰청_범죄발생 장소별 현황_2017.csv
F100003648,경찰청_서울특별시지방경찰청_범죄발생 장소별 현황_2018.csv
F100004295,교육부 국립특수교육원_특수교육연구 목차_20200905.csv
F100004296,교육부 국립국제교육원_한미대학생연수(WEST) 프로그램 파견 통계(2020.9).csv
F100004297,회차 국가 지역 등급별 지원자 응시자 합격자(2019).csv
F100004298,국립국제교육원_외국정부초청장학생_국가연도별_선발현황_2019년까지.csv
F100004299,국립국제교육원_한국유학종합시스템 입학 지원자 대학별 현황(2017년).csv
F100004300,국립국제교육원_한국유학종합시스템 입학 지원자 국적별 현황(2017년)_20171231.csv
F100004301,2018_국가별.csv
F100004303,국립국제교육원_한국유학종합시스템_대학별온라인입학신청현황(2019).csv
F100004304,국립국제교육원_한국유학종합시스템_국가별온라인입학신청현황(2019).csv
F100004305,국립국제교육원_한국유학종합시스템_접속통계_20191223.csv
F100004306,국립국제교육원_한국유학종합시스템_장학신청_20191223.csv
F100004307,국립국제교육원_한국유학종합시스템_국가정보_20191223.csv
F100004308,국립국제교육원_한국유학종합시스템_대학관련정보_20191223..csv
F100004310,국립국제교육원한국유학종합시스템유학박람회.csv
F100003649,2020년 서울경찰청 5대범죄 발생장소별 현황.csv
F100003650,경찰청_서울특별시지방경찰청_범죄발생 장소별 현황_2014.csv
F100003651,경찰청_서울특별시지방경찰청_범죄발생 장소별 현황_2019.csv
F100003652,경찰청_서울특별시지방경찰청_범죄발생 장소별 현황_2011.csv
F100003654,경찰청_서울특별시지방경찰청_관서별 5대범죄 발생 및 검거 현황_2002.csv
F100003655,경찰청_서울특별시지방경찰청_관서별 5대범죄 발생 및 검거 현황_2003.csv
F100003656,경찰청_서울특별시지방경찰청_관서별 5대범죄 발생 및 검거 현황_2004.csv
F100003658,경찰청_서울특별시지방경찰청_관서별 5대범죄 발생 및 검거 현황_2006.csv
F100003659,경찰청_서울특별시지방경찰청_관서별 5대범죄 발생 및 검거 현황_2007.csv
F100003660,경찰청_서울특별시지방경찰청_관서별 5대범죄 발생 및 검거 현황_2008.csv
F100003661,경찰청_서울특별시지방경찰청_관서별 5대범죄 발생 및 검거 현황_2009.csv
